unique_id,ds,y,exogenous1,exogenous2,exogenous3,exogenous4,exogenous5,exogenous6,exogenous7,exogenous8,exogenous9,exogenous10
GDP,1992Q1,5262.8,20098.01,17549.97667,579.7666667,797.8333333,220.59,6.25,0.0,149.8,15.4,109.8
GDP,1992Q2,6484.3,21158.21333,19152.34,611.1666667,735.8333333,831.3,15.03333333,23.2,104.4666667,15.4,114.0666667
GDP,1992Q3,7192.6,22215.11333,20396.88667,634.2,774.8333333,1829.99,20.9,23.2,86.7,18.16666667,119.2333333
GDP,1992Q4,8254.8,24172.65333,21828.1,646.4333333,926.4333333,3842.686667,27.86666667,21.4,82.9,22.4,120.8333333
GDP,1993Q1,6834.6,24405.73667,22260.32,636.6,961.3,372.16,11.45,21.46666667,149.55,19.3,121.3333333
GDP,1993Q2,8357.0,25223.14333,23298.93333,671.3333333,987.4333333,1360.026667,57.16666667,19.23333333,135.2666667,22.96666667,122.1333333
GDP,1993Q3,9385.8,26111.14,23881.77333,690.3333333,997.3333333,2953.186667,64.23333333,17.53333333,106.0333333,18.76666667,124.3333333
GDP,1993Q4,11095.9,29565.75667,26859.07333,710.9,1207.966667,6211.963333,50.73333333,23.13333333,59.66666667,18.2,121.5333333
GDP,1994Q1,9375.1,30028.95333,27092.73,705.09,1189.866667,477.49,113.5,23.03333333,-1.8,15.7,114.1666667
GDP,1994Q2,11481.0,31481.74333,29853.50667,749.27,1237.933333,1832.046667,68.0,24.8,-14.86666667,16.5,109.6333333
GDP,1994Q3,12868.0,33080.91667,32578.45667,764.0833333,1328.633333,4200.19,54.03333333,26.7,-9.366666667,22.1,108.4
GDP,1994Q4,14913.3,36308.75333,36375.43333,793.99,1665.133333,8378.68,33.86666667,22.9,-8.933333333,22.13333333,111.4
GDP,1995Q1,12111.7,37036.94333,37242.50667,756.76,1553.366667,780.76,4.45,23.33333333,4.45,14.43333333,116.4
GDP,1995Q2,14612.9,37481.35,40067.83333,814.8166667,1594.6,2727.656667,12.8,19.06666667,2.933333333,14.13333333,119.0
GDP,1995Q3,16164.1,39358.55667,42559.67,852.4333333,1683.966667,5787.616667,24.13333333,18.93333333,9.2,12.26666667,117.1
GDP,1995Q4,18451.2,45018.26333,47780.96333,855.1666667,2041.4,10899.41333,22.1,23.83333333,21.83333333,13.3,116.0666667
