unique_id,ds,y,exogenous1,exogenous2,exogenous3,exogenous4,exogenous5,exogenous6,exogenous7,exogenous8,exogenous9,exogenous10,exogenous11,exogenous12,exogenous13,exogenous14,exogenous15
GDP,1991/1/1,388616,5.96,1.77,0.71,1.09,25.39,11.37,16.82,38.86,16.2,38.11,2.52,5.46,11.66,68.76,27.94
GDP,1991/4/1,395083,6.11,1.87,0.74,1.16,26.59,11.24,17.97,39.9,17.65,39.19,2.7,5.79,12.26,68.38,28.45
GDP,1991/7/1,396732,5.62,2.02,0.79,1.26,26.3,11.06,17.84,41.31,16.99,40.12,2.78,6.27,12.72,68.74,29.29
GDP,1991/10/1,410509,5.88,2.21,0.82,1.34,28.92,10.89,17.53,42.3,17.48,43.21,3.86,6.89,12.15,72.34,30.32
GDP,1992/1/1,420590,6.24,2.39,0.86,1.28,28.86,10.52,17.31,43.08,15.94,44.08,4.3,6.58,12.31,79.21,31.12
GDP,1992/4/1,423287,6.55,2.44,0.86,1.34,30.29,10.22,17.43,44.39,15.88,44.4,4.62,6.97,12.84,81.69,31.93
GDP,1992/7/1,426095,6.04,2.56,0.88,1.42,28.47,10.73,16.26,45.1,13.59,44.22,4.39,7.31,13.53,82.78,33.02
GDP,1992/10/1,430487,6.29,2.85,0.92,1.45,29.41,10.39,14.3,44.78,11.16,46.35,4.58,7.67,14.55,85.67,34.47
GDP,1993/1/1,430928,6.89,2.67,0.91,1.43,29.43,10.11,13.14,44.8,9.98,45.73,4.5,7.46,14.9,87.19,35.52
GDP,1993/4/1,436326,6.79,2.74,0.91,1.43,29.97,9.83,12.11,44.83,10.0,46.33,4.5,7.51,15.11,87.14,36.52
GDP,1993/7/1,439257,5.96,2.71,0.95,1.42,30.58,10.0,10.81,45.25,8.3,46.58,4.79,7.42,15.1,89.5,37.59
GDP,1993/10/1,442458,6.05,2.63,0.93,1.42,30.22,8.91,9.08,44.88,6.91,48.08,4.55,7.42,14.58,92.33,38.83
GDP,1994/1/1,451028,6.21,2.57,0.95,1.32,28.92,8.95,8.68,45.27,7.0,47.64,4.82,7.19,14.12,91.99,39.93
GDP,1994/4/1,453145,5.43,2.66,0.9,1.34,30.19,9.07,9.33,46.29,7.72,48.83,4.49,7.21,13.8,93.17,41.17
GDP,1994/7/1,458519,5.1,2.66,0.86,1.35,31.0,9.13,9.18,46.97,7.15,48.76,4.26,7.36,13.63,93.61,42.23
GDP,1994/10/1,466069,4.85,3.03,0.86,1.61,31.69,9.47,8.55,46.75,6.66,51.24,3.82,7.54,13.28,72.03,43.22
GDP,1995/1/1,466851,4.93,3.06,0.78,2.65,23.29,8.86,8.2,56.02,8.2,50.45,3.99,9.04,14.2,55.62,40.85
GDP,1995/4/1,473932,4.89,2.98,0.79,2.67,23.4,9.45,8.8,57.91,8.79,50.66,3.79,8.99,14.11,54.59,41.61
GDP,1995/7/1,476746,5.02,2.68,0.81,2.72,22.28,9.82,8.69,59.13,8.73,50.69,3.61,9.97,14.95,54.45,42.58
GDP,1995/10/1,477577,4.95,2.66,0.82,2.81,24.23,9.1,8.22,58.55,7.07,51.92,3.76,10.13,15.29,55.23,42.97
