unique_id,ds,y,exogenous1,exogenous2,exogenous3,exogenous4,exogenous5,exogenous6,exogenous7,exogenous8,exogenous9,exogenous10,exogenous11,exogenous12,exogenous13,exogenous14,exogenous15,exogenous16,exogenous17,exogenous18,exogenous19,exogenous20
GDP,1990/1/1,103335.6,1.6,0.6,0.4,0.1,3.0,3.0,0.0,88.76,103.9,158.05,26193,24901,378896.22,381578,22634,10.04666667,2.433333333,2.533333333,34.89,103.7666667
GDP,1990/4/1,106995.0,4.2,0.3,0.5,0.2,7.1,7.2,-0.1,89.88,102.7,162.56,21114,19994,402099.16,390674,18963,9.713333333,2.6,2.566666667,47.31666667,102.5333333
GDP,1990/7/1,111769.1,3.6,0.3,0.4,0.0,7.5,7.4,0.1,91.2,101.7,167.34,26899,25709,411874.03,404055,14883,9.616666667,2.733333333,2.566666667,40.76,101.5666667
GDP,1990/10/1,124689.3,1.4,0.6,0.5,-0.1,3.7,3.5,0.2,92.41,100.7,167.5,18111,17219,425815.31,408557,8256,9.306666667,2.633333333,2.666666667,35.15,100.5
GDP,1991/1/1,112511.7,2.0,0.0,0.7,0.6,6.0,5.2,0.7,92.79,100.0333333,168.27,19592,18356,418325.47,413878,13676,8.636666667,2.633333333,2.733333333,37.54666667,100.0
GDP,1991/4/1,114445.0,1.1,0.2,0.5,0.1,3.9,3.4,0.6,93.2,99.83333333,167.31,18729,17679,443695.05,420705,24560,5.843333333,2.8,2.8,37.26,99.8
GDP,1991/7/1,117032.3,0.4,0.1,0.5,0.0,1.7,1.2,0.6,94.1,99.33333333,166.34,20081,19023,446579.36,426848,25334,4.61,3.033333333,2.9,24.75333333,99.43333333
GDP,1991/10/1,131148.3,1.3,0.3,0.5,0.2,2.4,1.5,0.9,94.2,99.83333333,163.3,20021,18968,462533.59,433133,28187,-0.55,2.8,2.833333333,3.44,99.93333333
GDP,1992/1/1,117177.9,2.2,0.7,0.4,0.1,2.1,1.5,0.6,95.02,99.53333333,161.3,18771,17663,437765.31,436752,34916,-2.226666667,2.9,3.0,-11.42333333,99.63333333
GDP,1992/4/1,118051.3,1.1,1.4,0.3,0.1,0.7,0.2,0.4,93.48,100.0,158.24,16849,15936,452507.59,437065,33785,-0.83,2.966666667,2.966666667,-19.61,99.83333333
GDP,1992/7/1,120192.9,1.2,1.3,0.3,0.2,1.1,0.5,0.6,93.14,100.0666667,155.83,17830,16916,448151.45,439144,34365,-2.203333333,2.833333333,2.733333333,-15.49333333,100.0666667
GDP,1992/10/1,132130.1,0.2,0.9,0.4,0.2,-0.2,-0.8,0.6,93.63,100.3666667,153.54,17182,16326,453441.75,441082,39283,0.66,2.4,2.433333333,-7.496666667,100.4666667
GDP,1993/1/1,117445.3,0.4,1.2,0.5,0.1,1.2,0.6,0.6,93.39,100.4666667,151.19,17124,15945,424081.27,440807,42896,0.2,2.233333333,2.3,-11.74,100.5666667
GDP,1993/4/1,116815.6,0.2,0.6,0.5,-0.1,0.3,0.0,0.3,93.77,99.96666667,149.82,18134,17380,448752.97,442703,34378,-0.886666667,2.333333333,2.333333333,-4.8,100.1
GDP,1993/7/1,117748.4,0.2,0.6,0.5,-0.1,-1.0,-1.0,0.1,93.64,99.93333333,147.76,16057,15209,435548.31,441283,34043,0.566666667,2.433333333,2.333333333,-0.05,100.1666667
GDP,1993/10/1,131702.5,1.4,0.9,0.3,-0.3,0.3,0.8,-0.4,93.2,99.7,146.99,18010,17304,443689.26,442440,35373,0.9,2.4,2.466666667,-1.963333333,99.8
GDP,1994/1/1,123456.5,1.2,0.5,0.5,0.1,-1.3,-1.0,-0.3,93.25,99.96666667,146.0,25624,24568,413134.36,446941,38422,2.213333333,2.366666667,2.466666667,11.46666667,100.0333333
GDP,1994/4/1,124907.2,1.5,0.7,0.6,-0.1,2.4,2.7,-0.3,95.18,99.63333333,144.79,21846,21062,417944.75,448900,34341,3.113333333,2.466666667,2.433333333,12.36333333,99.6
GDP,1994/7/1,125739.3,2.5,-0.2,0.5,0.0,2.4,2.8,-0.3,94.15,99.2,144.4,21335,20335,414085.3,449153,29098,2.646666667,2.466666667,2.366666667,7.476666667,99.43333333
GDP,1994/10/1,136813.2,-0.1,-0.4,0.4,0.0,0.1,0.0,0.1,94.18,99.4,143.67,24054,22927,426568.6,452274,31564,2.39,2.466666667,2.466666667,8.16,99.03333333
GDP,1995/1/1,124499.2,1.2,-0.7,0.6,-0.1,1.3,1.6,-0.3,94.9,99.1,143.64,25512,24180,405666.12,457416,29281,3.363333333,2.633333333,2.7,17.09666667,99.16666667
GDP,1995/4/1,127481.3,1.3,-0.4,0.5,-0.1,2.9,3.2,-0.3,95.39,98.53333333,143.36,26156,24965,451790.23,461541,25899,2.783333333,2.8,2.8,14.78666667,98.73333333
GDP,1995/7/1,128698.3,1.2,0.5,0.6,-0.3,2.8,3.4,-0.6,95.02,98.53333333,142.67,51228,49416,448022.19,484821,25591,2.116666667,2.933333333,2.866666667,16.24333333,98.7
GDP,1995/10/1,140934.8,1.5,0.8,0.6,-0.4,3.5,4.4,-0.9,94.49,98.13333333,141.85,53695,52324,467252.41,511386,23091,1.003333333,2.866666667,2.9,8.666666667,98.16666667
GDP,1996/1/1,128185.1,1.1,1.7,0.4,0.0,3.5,4.4,-0.8,94.15,98.53333333,141.24,45759,44633,442036.5,525257,22105,-2.1,2.933333333,3.0,-9.173333333,98.3
GDP,1996/4/1,131526.4,1.2,0.8,0.4,-0.3,3.3,4.4,-1.0,94.45,97.93333333,140.24,31346,30443,435953.66,532904,16617,-3.78,3.066666667,3.033333333,-19.22333333,98.1
GDP,1996/7/1,131449.0,0.9,0.0,0.2,0.3,2.6,2.9,-0.4,94.98,98.13333333,139.67,32182,31214,435450.5,541644,17277,-4.473333333,3.233333333,3.166666667,-18.49666667,98.33333333
