unique_id,ds,y,exogenous1,exogenous2,exogenous3,exogenous4,exogenous5,exogenous6,exogenous7,exogenous8,exogenous9,exogenous10,exogenous11,exogenous12,exogenous13,exogenous14,exogenous15,exogenous16,exogenous17,exogenous18,exogenous19,exogenous20,exogenous21,exogenous22,exogenous23,exogenous24,exogenous25,exogenous26,exogenous27,exogenous28,exogenous29,exogenous30
gongyeqiye,2000-03-01,235.0,178.05,13.38,-0.2,,18.7,,35.9,,201.38,122606.82,,,,,,39.1,,23.9,,,,,,,,,-3.3,13.4,,-1.6
gongyeqiye,2000-04-01,292.47,183.54,14.46,-0.3,,21.7,,38.8,,205.12,124121.87,,,,,,39.0,,32.8,,,,,,,,,-3.9,13.8,,-0.9
gongyeqiye,2000-05-01,407.34,169.65,14.01,0.1,,22.3,,29.6,,201.12,124053.25,,,,,,36.8,,24.3,,,,,,,,,-3.1,13.9,,-1.0
gongyeqiye,2000-06-01,368.44000000000017,203.0,14.39,0.5,,23.7,,45.0,,222.05,126605.33,,,,,,38.3,,39.8,,,,,,,,,-2.4,13.8,,-1.5
gongyeqiye,2000-07-01,400.04,194.89,15.55,0.5,,22.6,,24.0,,214.76,126323.92,,,,,,35.8,,40.1,,,,,,,,,-2.4,14.1,,-0.8
gongyeqiye,2000-08-01,395.97999999999985,207.85,14.82,0.3,,21.9,,27.3,,233.25,127790.3,,,,,,34.6,,54.6,,,,,,,,,-2.6,14.0,,1.0
gongyeqiye,2000-09-01,422.85000000000036,207.12,15.27,0.0,,20.8,,23.7,,229.8,130473.84,,,,,,33.1,,35.7,,,,,,,,,-3.7,14.1,,1.6
gongyeqiye,2000-10-01,433.61999999999983,189.43,14.2,0.0,,18.2,,24.9,,227.7,129522.44,,,,,,32.2,,37.4,,,,,,,,,-3.7,14.5,,-0.1
gongyeqiye,2000-11-01,439.2599999999998,216.4,15.15,1.3,,17.1,,13.7,,221.46,130994.07,,,,,,30.1,,28.0,,,,,,,,,-1.0,14.7,,0.7
gongyeqiye,2000-12-01,547.6600000000003,214.14,13.99,1.5,,16.0,,8.5,,219.86,134610.26,,,,,,27.8,,22.9,,,,,,,,,-0.1,13.4,,0.1
gongyeqiye,2001-03-01,371.32999999999987,207.47,14.83,0.8,,17.4,,14.3,1045.0,230.12,138744.46,,,,,,14.7,,16.5,,,,,,,,,-1.0,13.9,1.7,-0.6
gongyeqiye,2001-04-01,373.55999999999983,218.67,13.94,1.6,,15.0,,11.1,1021.0,227.87,139949.85,,,,,,13.2,,19.1,,,,,,,,,1.3,13.7,1.8,0.2
gongyeqiye,2001-05-01,442.08000000000015,188.1,14.48,1.7,,14.9,,3.5,1223.0,208.08,139015.84,,,,,,11.0,,10.9,,,,,,,,,1.7,14.1,1.7,-0.5
gongyeqiye,2001-06-01,453.8700000000002,212.78,14.3,1.4,,14.9,,-0.6,1839.0,220.76,147809.67,,,,,,8.8,,4.8,,,,,,,,,1.0,13.7,1.6,-1.2
gongyeqiye,2001-07-01,368.92999999999984,209.52,13.5,1.5,,11.9,,6.2,541.0,228.11,149228.73,,,,,,8.4,,7.5,,,,,,,,,1.5,13.2,1.5,-0.5
gongyeqiye,2001-08-01,368.98,221.75,13.6,1.0,,14.2,,0.9,519.0,235.36,149941.76,,,,,,7.3,,6.7,,,,,,,,,0.2,12.6,1.4,0.1
gongyeqiye,2001-09-01,398.84999999999985,218.45,13.6,-0.1,,12.3,,4.4,1359.0,239.87,151642.64,,,,,,6.9,,5.5,,,,,,,,,0.3,12.3,-0.3,0.9
gongyeqiye,2001-10-01,386.15000000000015,189.01,12.9,0.2,,12.3,,0.1,16.0,227.9,151497.25,,,,,,6.1,,-0.2,,,,,,,,,0.8,11.4,-0.1,0.3
gongyeqiye,2001-11-01,422.90999999999985,208.45,13.2,-0.3,,11.4,,8.4,1101.0,240.0,154088.33,,,,,,6.3,,-3.7,,,,,,,,,-0.8,10.9,0.0,-0.2
gongyeqiye,2001-12-01,587.7999999999997,223.9,14.4,-0.3,,12.7,,11.5,2312.0,245.03,158301.92,,,,,,6.8,,4.6,,,,,,,,,-0.7,11.6,-0.1,0.1
gongyeqiye,2002-03-01,368.76999999999987,225.07,14.4,-0.8,,10.1,3136.0,3.4,2555.0,238.18,164064.57,,,2554.0,,,9.9,,8.5,,0.0,,,-3.0,,315.0,,-0.6,11.9,-0.8,-1.3
gongyeqiye,2002-04-01,439.29000000000013,257.5,14.1,-1.3,,11.5,1151.0,17.2,936.0,267.3,164570.56,,,937.0,,,11.9,,17.8,,10.0,,,119.0,,51.0,,-2.0,11.6,-0.9,-0.3
gongyeqiye,2002-05-01,511.21,224.35,14.0,-1.1,,14.6,1774.0,18.4,1110.0,246.44,166023.0,,,1110.0,,,13.2,,19.3,,10.0,,,74.0,,426.0,,-1.5,11.4,-0.9,-0.3
gongyeqiye,2002-06-01,528.6099999999999,231.0,14.7,-0.8,,12.8,2621.0,17.8,2930.0,260.2,169601.24,,,2929.0,,,14.1,,8.6,,78.0,,,18.0,,-589.0,,-0.2,12.2,-1.0,-0.9
gongyeqiye,2002-07-01,479.04,269.9,14.4,-0.9,,17.0,813.0,28.1,620.0,292.1,170851.14,,,620.0,,,16.2,,28.9,,10.0,,,45.0,,36.0,,-0.9,12.2,-1.0,-0.7
gongyeqiye,2002-08-01,488.82999999999987,272.0,15.5,-0.7,,14.6,1585.0,25.0,1736.0,294.0,173250.92,,,1736.0,,,17.5,,23.0,,23.0,,,-14.0,,-233.0,,-0.4,13.3,-0.9,0.3
gongyeqiye,2002-09-01,555.0100000000001,297.94,16.5,-0.7,,15.9,3507.0,33.1,2878.0,319.11,176985.21,,,2885.0,,,19.4,,36.4,,58.0,,,-23.0,,296.0,,-0.2,14.2,-0.9,1.0
gongyeqiye,2002-10-01,572.7799999999997,252.0,17.0,-0.8,,17.9,795.0,31.5,722.0,299.46,177294.15,,,722.0,,,20.6,,33.4,,87.0,,,-27.0,,-61.0,,-0.5,15.4,-0.9,0.2
gongyeqiye,2002-11-01,581.7200000000003,287.39,16.6,-0.7,,18.5,1805.0,30.0,1539.0,312.05,179736.26,,,1539.0,,,21.6,,37.9,,60.0,,,-16.0,,107.0,,-0.1,15.7,-1.0,-0.1
gongyeqiye,2002-12-01,664.6800000000002,287.33,16.78,-0.4,,16.82,3109.0,30.2,2206.0,318.91,185006.97,,,2673.0,,,22.3,,28.4,,30.0,,,0.0,,113.0,,0.5,15.8,-0.9,0.3
gongyeqiye,2003-03-01,611.0900000000001,325.49,18.54,0.9,,20.12,4041.0,34.7,3565.0,320.91,194487.3,,,3725.0,,,33.5,,45.1,,0.0,,,23.0,,-41.0,,3.2,19.9,-0.3,-0.6
gongyeqiye,2003-04-01,664.3599999999998,346.03,19.2,1.0,,18.0,2622.0,33.3,1945.0,356.17,196130.13,,,1945.0,,,33.5,,34.4,,12.0,,,68.0,,280.0,,3.2,20.65,0.0,-0.2
gongyeqiye,2003-05-01,662.7400000000002,316.1,20.2,0.7,,18.8,2971.0,37.3,2534.0,338.4,199505.19,,,2534.0,,,34.3,,40.9,,5.0,,,2.0,,121.0,,1.9,21.66,0.1,-0.7
gongyeqiye,2003-06-01,720.1399999999999,323.36,20.83,0.3,,20.24,5842.0,32.6,5439.0,344.76,204907.42,,,5250.0,,,34.0,,40.1,,16.0,,,176.0,,13.0,,0.4,23.1,0.3,-1.2
gongyeqiye,2003-07-01,664.8800000000001,365.14,20.7,0.5,,20.0,1344.0,30.6,872.0,381.1,206193.07,,,1062.0,,,33.4,,35.3,,58.0,,,22.0,,-34.0,,1.0,23.38,0.3,-0.5
gongyeqiye,2003-08-01,712.04,346.21,21.55,0.9,,18.75,3321.0,27.2,2808.0,374.15,210591.9,,,2808.0,,,32.5,,27.3,,55.0,,,100.0,,-5.0,,2.2,23.9,0.3,0.7
gongyeqiye,2003-09-01,712.4099999999999,416.5,20.67,1.1,,18.51,4040.0,31.3,3320.0,419.4,213567.13,,,3035.0,,,32.3,,39.9,,14.0,,,78.0,,432.0,,3.2,23.5,0.1,1.2
