unique_id,ds,y,exogenous1,exogenous2,exogenous3,exogenous4,exogenous5,exogenous6,exogenous7,exogenous8,exogenous9,exogenous10,exogenous11,exogenous12,exogenous13,exogenous14,exogenous15,exogenous16,exogenous17,exogenous18,exogenous19,exogenous20,exogenous21,exogenous22,exogenous23,exogenous24,exogenous25,exogenous26,exogenous27,exogenous28,exogenous29,exogenous30
GDP,1990/1/1,163266,2.4,39885,37447,13973,7.85,11.01,10447,-4.04,7.09,3874,15.49,25289,3.7,31468,20526,15.78,7652,2795,-6179,11.54666667,76.83333333,15917.33333,2007.333333,1172.433333,26896.66667,6.866666667,3.233333333,441.4333333,1595.666667,5.3
GDP,1990/4/1,167237,2.98,39688,37767,14059,11.38,7.3,10285,2.69,10.29,3909,9.87,25888,0.87,31396,19936,15.27,7891,2394,-5508,12.31666667,77.96666667,15919.0,2003.333333,1162.733333,26922.33333,6.833333333,3.133333333,412.2666667,1574.0,5.233333333
GDP,1990/7/1,170304,-2.08,38655,37504,14363,4.93,-2.35,10231,3.06,5.97,4727,6.87,25496,1.65,29628,20202,8.47,7764,2467,-4132,12.03,76.63333333,15915.0,2027.333333,1224.466667,26925.0,7.2,3.2,439.0666667,1640.9,5.433333333
GDP,1990/10/1,170632,-2.82,37788,37723,14392,7.31,-2.55,10284,5.3,2.31,6133,6.9,25851,4.12,29184,20501,3.43,8013,2271,-3333,11.31666667,75.9,15969.66667,2117.333333,1340.7,26803.33333,7.866666667,3.4,436.1,1781.966667,5.9
GDP,1991/1/1,173714,-7.68,36822,36863,13511,-1.89,-10.22,9827,-3.31,-1.56,5676,-5.93,25107,-7.48,28252,18991,-0.72,7507,2320,-3145,10.33666667,75.03333333,16054.33333,2248.666667,1490.4,26610.0,8.833333333,3.7,498.2666667,1970.533333,6.633333333
GDP,1991/4/1,175672,-8.05,36495,38164,14252,4.57,-9.98,10569,1.37,1.05,7310,2.76,26093,-2.14,28263,19509,0.79,8252,2317,-2170,10.38333333,74.16666667,16134.0,2437.333333,1675.5,26363.33333,9.9,4.1,530.8666667,2208.066667,7.4
GDP,1991/7/1,177295,-4.27,37006,38657,13923,4.96,-1.08,10903,-3.06,3.07,7899,6.57,26686,-1.3,29307,19940,4.67,8149,2754,-2621,9.983333333,73.5,16262.66667,2583.0,1820.5,26106.66667,10.8,4.4,601.5333333,2389.166667,8.0
GDP,1991/10/1,179984,-0.78,37493,38381,14204,3.99,-0.14,11148,-1.31,1.74,6999,8.4,26267,-1.87,29143,20118,1.61,8333,2815,-2876,9.716666667,74.23333333,16408.33333,2674.666667,1914.866667,25886.66667,11.33333333,4.533333333,588.8666667,2503.6,8.4
GDP,1992/1/1,181716,2.86,37874,38277,14811,14.53,3.05,11691,9.62,3.84,6753,18.97,26292,10.6,29115,21004,4.72,8598,3093,-2823,9.48,74.26666667,16507.66667,2737.0,1995.1,25741.66667,11.86666667,4.666666667,632.3,2603.2,8.766666667
GDP,1992/4/1,182114,8.43,39571,39050,15518,9.46,6.55,11650,8.88,2.32,5810,10.23,27008,11.31,30114,21715,3.51,9033,2617,-3106,9.19,73.93333333,16568.0,2785.0,2068.966667,25642.0,12.33333333,4.8,625.4333333,2690.933333,9.066666667
GDP,1992/7/1,182539,7.36,39729,38678,14563,6.45,2.63,10576,4.6,0.05,5176,-3.0,26605,4.04,30078,20745,-0.3,8675,1901,-3473,9.196666667,74.7,16664.66667,2811.333333,2134.433333,25525.33333,12.7,4.933333333,682.6333333,2772.866667,9.3
GDP,1992/10/1,185424,7.72,40389,39833,14489,9.24,11.35,12417,2.01,3.78,6962,11.38,28180,10.01,32452,22131,7.28,9103,3314,-4272,8.386666667,75.1,16715.33333,2893.666667,2233.066667,25398.66667,13.33333333,5.133333333,670.2,2899.2,9.733333333
GDP,1993/1/1,190158,8.34,41032,40320,14315,10.12,17.34,13248,-3.35,5.34,7189,13.32,30358,6.7,34163,22411,15.46,9468,3780,-3805,7.986666667,75.3,16725.0,3003.333333,2254.333333,25285.66667,13.6,5.2,702.8,2930.4,9.9
GDP,1993/4/1,190463,1.21,40051,40039,15046,12.28,10.64,12739,-3.04,2.53,6778,9.35,29984,0.18,33318,21754,11.02,10142,2597,-3334,8.0,75.53333333,16784.0,2957.0,2242.366667,25279.0,13.53333333,5.166666667,673.4,2912.233333,9.833333333
GDP,1993/7/1,193925,2.83,40854,40375,15464,18.2,12.99,13462,6.19,4.39,6671,27.29,30728,9.0,33984,22612,15.5,10254,3208,-3256,7.216666667,76.33333333,16825.0,2907.666667,2212.2,25295.66667,13.36666667,5.1,709.5666667,2869.6,9.7
GDP,1993/10/1,196325,3.03,41611,41196,15365,13.69,7.16,14245,6.05,3.42,7683,14.72,31410,6.69,34774,23611,11.46,10349,3896,-3364,6.716666667,77.33333333,16831.66667,2889.666667,2151.6,25319.66667,12.96666667,4.966666667,646.7,2794.333333,9.5
GDP,1994/1/1,199596,2.84,42196,43171,16284,14.85,3.83,14872,13.75,7.07,8681,12.26,32134,6.7,35473,23913,5.85,10874,3998,-3339,6.853333333,78.46666667,16843.0,2847.666667,2107.433333,25364.0,12.9,4.833333333,654.4333333,2737.4,9.3
GDP,1994/4/1,201178,6.04,42471,43790,16529,11.41,8.32,13967,9.86,9.37,8389,9.64,33369,7.41,36091,23367,11.29,11299,2668,-2722,8.276666667,80.16666667,16863.33333,2751.666667,2036.866667,25452.33333,12.46666667,4.733333333,613.4666667,2651.266667,9.0
GDP,1994/7/1,203490,3.04,42097,44604,16673,10.86,8.64,14976,7.82,10.47,10660,11.25,34270,9.18,36919,24687,11.53,11368,3608,-2649,8.693333333,80.73333333,16878.33333,2678.333333,1961.833333,25530.66667,12.0,4.566666667,645.7666667,2557.066667,8.7
GDP,1994/10/1,207652,5.81,44028,46461,17077,12.1,11.54,15693,11.14,12.78,10068,10.16,35648,3.48,38788,24433,13.49,11601,4092,-3140,8.666666667,81.7,16976.66667,2561.666667,1876.3,25585.0,11.5,4.366666667,574.5666667,2448.6,8.366666667
GDP,1995/1/1,208843,3.15,43524,47930,16583,4.12,10.62,17065,1.84,11.02,14093,14.75,37371,9.44,39239,26171,16.3,11322,5743,-1868,8.66,80.93333333,17030.66667,2496.666667,1809.6,25630.33333,10.9,4.133333333,573.7,2362.6,7.866666667
GDP,1995/4/1,211269,5.94,44993,47666,17303,7.82,13.8,15940,4.68,8.85,10964,14.13,37448,8.64,41073,25385,12.22,12183,3757,-3625,8.243333333,81.56666667,16988.0,2469.333333,1765.566667,25736.0,10.63333333,4.033333333,540.5333333,2306.9,7.666666667
GDP,1995/7/1,215245,9.52,46106,49654,17507,8.43,16.31,16014,5.0,11.32,12071,6.93,39031,4.36,42941,25763,13.89,12326,3688,-3910,8.11,81.86666667,16957.33333,2444.666667,1729.333333,25827.0,10.4,3.966666667,580.7,2259.366667,7.5
GDP,1995/10/1,217720,6.14,46730,50412,17348,5.21,12.1,17077,1.59,8.5,12593,8.82,40043,6.58,43482,26041,12.33,12205,4872,-3439,7.79,82.23333333,16950.33333,2404.0,1704.233333,25914.0,10.23333333,3.9,527.4666667,2229.766667,7.433333333
GDP,1996/1/1,221486,11.86,48684,51291,17887,14.61,15.34,17282,7.86,7.01,11688,1.27,41169,2.48,45259,26821,10.16,12976,4306,-4090,7.753333333,82.73333333,16974.33333,2354.666667,1676.566667,25979.33333,10.76666667,3.766666667,536.5333333,2194.233333,7.466666667
GDP,1996/4/1,225839,9.07,49074,52124,18354,9.14,11.21,18202,6.07,9.35,12131,14.19,41746,7.24,45678,27224,11.48,13296,4906,-3932,8.066666667,82.23333333,17006.0,2345.666667,1642.0,25996.0,10.56666667,3.7,509.6,2152.866667,7.333333333
GDP,1996/7/1,230096,8.81,50169,53203,18508,7.8,6.11,18097,5.72,7.15,11814,13.01,42258,4.91,45565,27029,8.27,13287,4810,-3307,7.853333333,82.56666667,17049.66667,2294.666667,1582.766667,26043.66667,10.16666667,3.566666667,545.1333333,2076.733333,7.1
GDP,1996/10/1,233837,8.28,50597,54023,19804,13.17,4.94,19148,14.16,7.16,12345,12.13,42366,8.96,45631,28375,5.8,13813,5335,-3265,7.57,83.46666667,17003.66667,2259.333333,1471.066667,26165.0,9.466666667,3.266666667,456.5333333,1926.133333,6.566666667
GDP,1997/1/1,233241,7.27,52224,57943,20272,1.65,0.88,18505,13.33,12.97,15089,11.22,42789,8.73,45645,29163,4.15,13254,5251,-2856,7.403333333,84.0,17014.0,2132.333333,1348.833333,26321.0,8.29,2.92,423.9,1758.5,5.806666667
GDP,1997/4/1,235845,12.13,55029,58762,20781,1.14,3.49,18671,13.22,12.74,12950,6.49,42552,8.8,47263,29619,2.14,13511,5160,-4711,7.316666667,83.86666667,16993.0,2050.0,1242.4,26464.0,7.636666667,2.676666667,372.1933333,1617.9,5.343333333
GDP,1997/7/1,242858,6.64,53500,57749,22307,5.16,-0.01,19728,20.53,8.54,12702,13.18,41511,11.45,45552,30123,-1.57,14044,5684,-4041,6.99,85.13333333,17003.66667,2018.666667,1169.266667,26524.66667,7.19,2.543333333,382.6866667,1526.133333,5.036666667
GDP,1997/10/1,242008,10.48,55900,59717,21678,-0.06,3.17,19440,9.46,10.54,13638,5.35,42675,9.64,47067,31111,0.93,13874,5566,-4392,6.5,87.06666667,17083.33333,1886.666667,1099.233333,26620.33333,6.76,2.396666667,330.4366667,1435.433333,4.74
GDP,1998/1/1,245778,10.21,57555,59626,22451,8.15,3.73,19433,10.75,2.9,11625,5.01,42068,8.47,47348,31633,-1.69,14334,5099,-5280,6.046666667,89.16666667,17162.0,1816.666667,1055.933333,26655.66667,6.48,2.34,337.8033333,1382.033333,4.566666667
GDP,1998/4/1,248133,7.65,59237,59037,22999,7.93,1.23,19747,10.67,0.47,9461,5.76,41330,9.35,47842,32388,-2.87,14583,5164,-6512,5.816666667,88.33333333,17174.66667,1792.333333,1032.5,26709.66667,6.333333333,2.283333333,316.93,1351.2,4.463333333
GDP,1998/7/1,251225,11.99,59917,58134,23331,5.08,3.87,20276,4.59,0.67,8187,2.78,40352,9.92,47314,33112,-2.79,14758,5518,-6962,5.516666667,86.53333333,17117.66667,1797.666667,1019.466667,26809.33333,6.256666667,2.276666667,339.81,1337.3,4.42
GDP,1998/10/1,254190,7.71,60211,58203,23168,8.83,0.58,20918,6.87,-2.54,7646,7.6,40026,4.94,47342,32648,-6.21,15099,5819,-7316,4.82,86.93333333,17083.0,1771.333333,1009.733333,26924.0,6.193333333,2.226666667,304.0733333,1320.5,4.366666667
GDP,1999/1/1,256399,6.7,61414,57639,24712,11.44,1.65,20863,10.07,-3.33,5055,7.36,39480,5.16,48129,33264,-6.15,15974,4889,-8649,4.46,90.43333333,17027.0,1788.0,997.7,27018.0,6.003333333,2.2,319.52,1303.9,4.27
GDP,1999/4/1,258184,4.43,61864,58608,25338,10.83,1.26,21245,10.17,-0.73,5165,7.59,40388,3.04,48445,33373,-2.28,16163,5082,-8057,4.89,90.8,17063.33333,1758.666667,976.8666667,27065.0,5.876666667,2.14,297.2066667,1274.766667,4.176666667
GDP,1999/7/1,261803,8.55,65037,62009,24981,6.83,8.32,21876,7.07,6.67,6531,7.89,43047,3.61,51251,34307,6.68,15766,6110,-8204,5.496666667,92.76666667,17066.66667,1710.0,943.4,27167.66667,5.673333333,2.076666667,308.0433333,1232.2,4.033333333
GDP,1999/10/1,267764,9.09,65682,62449,26175,9.32,9.66,23223,12.98,7.3,6400,11.02,43428,8.69,51913,35485,8.5,16506,6717,-8485,5.526666667,93.46666667,17051.0,1688.0,901.9666667,27268.0,5.426666667,2.006666667,273.22,1181.366667,3.87
GDP,2000/1/1,272383,8.79,66815,63932,25733,2.15,10.86,22881,4.13,10.92,7627,9.67,44652,8.36,53354,36045,13.1,16317,6564,-8702,5.606666667,93.33333333,17054.33333,1689.666667,879.9666667,27326.0,5.303333333,1.92,286.87,1153.033333,3.74
GDP,2000/4/1,274159,10.36,68274,65424,26900,6.43,14.34,24050,6.16,11.63,8043,13.2,46210,12.47,55393,37535,14.42,17203,6847,-9183,5.31,93.0,17062.33333,1631.333333,843.3333333,27438.66667,5.086666667,1.83,259.63,1103.866667,3.583333333
GDP,2000/7/1,276759,8.23,70389,65494,26962,11.65,13.03,24567,7.93,5.62,6277,12.3,46677,10.77,57930,38001,8.43,17602,6965,-11253,5.32,93.26666667,17107.66667,1542.666667,809.6666667,27549.33333,4.88,1.76,266.77,1059.966667,3.44
GDP,2000/10/1,277842,10.71,72719,69004,27521,8.47,15.51,23803,5.14,10.5,5525,2.5,49259,2.83,59964,36489,13.43,17904,5899,-10705,5.076666667,95.2,17206.33333,1543.666667,793.3666667,27531.0,4.783333333,1.71,237.2366667,1036.733333,3.363333333
GDP,2001/1/1,282353,12.34,75059,70761,27266,11.28,15.09,26578,5.96,10.68,7490,16.16,50191,8.29,61407,39032,12.4,18157,8421,-11216,4.79,97.8,17233.66667,1500.333333,764.2666667,27626.0,4.566666667,1.643333333,249.1466667,999.6666667,3.22
GDP,2001/4/1,286384,10.18,75225,67781,27797,7.81,10.47,25518,3.33,3.6,2730,6.1,48212,1.01,61193,37914,4.33,18547,6971,-12981,5.09,96.73333333,17298.0,1452.666667,741.2666667,27689.66667,4.43,1.6,230.6,970.6666667,3.126666667
GDP,2001/7/1,288260,5.54,74288,66141,27968,5.2,1.68,25179,3.73,0.99,1105,2.49,46410,-2.37,58904,37099,-0.57,18518,6661,-12494,5.06,96.2,17324.33333,1480.666667,724.2,27711.0,4.33,1.576666667,239.7633333,949.7,3.056666667
