unique_id,ds,y,exogenous1,exogenous2,exogenous3,exogenous4,exogenous5
GDP,1992Q1,5262.8,20098.01,17549.97667,579.7666667000002,797.8333332999997,220.59
GDP,1992Q2,6484.3,21158.213330000002,19152.34,611.1666667000002,735.8333332999997,831.3
GDP,1992Q3,7192.6,22215.11333,20396.88667,634.2,774.8333332999997,1829.99
GDP,1992Q4,8254.8,24172.65333,21828.1,646.4333333,926.4333332999997,3842.6866670000004
GDP,1993Q1,6834.6,24405.73667,22260.32,636.6,961.3,372.16
GDP,1993Q2,8357.0,25223.14333000001,23298.93333,671.3333332999998,987.4333332999997,1360.026667
GDP,1993Q3,9385.8,26111.14,23881.77333,690.3333332999997,997.3333332999997,2953.1866670000004
GDP,1993Q4,11095.9,29565.75667,26859.07333000001,710.9,1207.966667,6211.963333
GDP,1994Q1,9375.1,30028.95333,27092.73,705.09,1189.866667,477.49
GDP,1994Q2,11481.0,31481.74333,29853.50667,749.27,1237.933333,1832.046667
GDP,1994Q3,12868.0,33080.91667,32578.45667,764.0833332999997,1328.633333,4200.19
GDP,1994Q4,14913.3,36308.75333,36375.43333,793.99,1665.133333,8378.68
GDP,1995Q1,12111.7,37036.94333,37242.506669999995,756.76,1553.366667,780.76
GDP,1995Q2,14612.9,37481.35,40067.83333,814.8166667,1594.6,2727.656667
GDP,1995Q3,16164.1,39358.55667,42559.67,852.4333332999997,1683.9666670000001,5787.616667
GDP,1995Q4,18451.2,45018.26333,47780.96333,855.1666667000003,2041.4,10899.41333
GDP,1996Q1,14628.0,51177.89333,55847.01,828.2,1908.8,886.825
GDP,1996Q2,17147.5,53526.13667,60531.13667000001,875.7766667000003,1921.8,3295.356667
GDP,1996Q3,18605.8,56066.95333,64256.13,896.7233332999997,1978.766667,7031.42
GDP,1996Q4,21432.4,59293.92667000001,67432.71667000001,908.0866667000001,2448.666667,12650.856670000001
GDP,1997Q1,16689.1,65147.96667,70361.23332999999,866.32,2224.1,1033.38
GDP,1997Q2,19163.6,67236.64667,74185.42667,914.8266667000001,2137.1,3759.8
GDP,1997Q3,20500.9,69598.69,77194.90667000001,948.9333332999997,2161.6333329999998,7706.036667
GDP,1997Q4,23361.5,72829.80667,80477.27333,938.1166667000001,2576.8,14002.486669999998
GDP,1998Q1,18049.1,75265.79,82697.85333,883.0766667000001,2360.7333329999997,1135.955
GDP,1998Q2,20296.6,77563.52,85835.96,917.9566667000001,2259.7,4182.313333
GDP,1998Q3,21775.6,81030.77667,89897.84,976.54,2323.8666670000002,9056.176667
GDP,1998Q4,25074.2,84843.34,94355.24,982.8733332999999,2773.2,16317.613330000002
GDP,1999Q1,19361.9,87038.58667,97545.82333,968.5333332999999,2534.533333,1434.01
GDP,1999Q2,21567.7,89347.16333,101483.33,962.09,2383.2,4902.27
GDP,1999Q3,23050.8,92216.42332999999,104065.25,1049.116667,2465.166667,9989.986667000001
GDP,1999Q4,26583.9,94176.77667,107329.7633,1033.776667,2995.333333,17424.72
GDP,2000Q1,21329.9,94655.88333,110020.5733,1017.893333,2798.1333329999998,1595.115
GDP,2000Q2,24043.4,95875.8,115169.7533,1077.7,2617.8666670000002,5460.473333
GDP,2000Q3,25712.5,95077.46,118443.48,1148.873333,2695.833333,11349.22667
GDP,2000Q4,29194.3,98087.05333,121875.9233,1132.67,3272.3666670000002,19373.65333
GDP,2001Q1,24086.4,101527.87,126463.2533,1087.42,3085.333333,1845.46
GDP,2001Q2,26726.6,104919.94,132180.0433,1162.2433330000001,2886.4,6454.3
GDP,2001Q3,28333.3,107893.8467,136651.0133,1256.003333,2959.2333329999997,13447.266669999999
GDP,2001Q4,31716.8,110464.8033,141323.2067,1231.82,3600.7666670000012,22471.376669999998
GDP,2002Q1,26295.0,114386.5233,144982.52,1189.37,3345.1,2335.84
GDP,2002Q2,29194.8,118867.63,153835.72,1296.043333,3137.7,8115.86
GDP,2002Q3,31257.3,123868.2533,162042.04,1446.86,3220.9,16705.6
GDP,2002Q4,34970.3,129003.6067,168656.0733,1435.82,3933.1333329999998,27309.82
GDP,2003Q1,29825.5,136588.6067,177430.0933,1363.876667,3702.8666670000002,3207.51
GDP,2003Q2,32537.3,144814.04,189296.19,1465.14,3482.3666670000002,10971.776670000001
GDP,2003Q3,35291.9,153100.6233,198705.1367,1661.386667,3714.5,22543.63667
GDP,2003Q4,39767.4,157791.1733,206084.0367,1638.7566669999999,4380.933333,35909.32333
GDP,2004Q1,34544.6,164327.9267,215146.7567,1585.62,4276.866667,5172.755
GDP,2004Q2,38700.8,169968.78,225693.2833,1706.62,4139.5333329999985,16109.53667
GDP,2004Q3,41855.0,171465.87,232565.1467,1876.4266670000002,4396.5333329999985,32443.36333
GDP,2004Q4,46739.8,175438.8233,238932.2133,1878.11,5170.433333,50483.62667
