unique_id,ds,y,exogenous1,exogenous2,exogenous3,exogenous4,exogenous5,exogenous6,exogenous7,exogenous8,exogenous9,exogenous10,exogenous11,exogenous12,exogenous13,exogenous14,exogenous15,exogenous16,exogenous17,exogenous18,exogenous19,exogenous20,exogenous21,exogenous22,exogenous23,exogenous24,exogenous25,exogenous26,exogenous27,exogenous28,exogenous29,exogenous30
shui,2000-03-01,1017.88,178.05,13.38,1.87,-0.2,,18.7,,35.9,11.9,,201.38,122606.82,,,,,10.7,,39.1,,23.9,,,,,,,,,
shui,2000-04-01,1136.52,183.54,14.46,2.59,-0.3,,21.7,,38.8,11.4,,205.12,124121.87,,,,,10.9,,39.0,,32.8,,,,,,,,,
shui,2000-05-01,892.04,169.65,14.01,0.67,0.1,,22.3,,29.6,11.5,,201.12,124053.25,,,,,11.0,,36.8,,24.3,,,,,,,,,
shui,2000-06-01,1137.55,203.0,14.39,2.95,0.5,,23.7,,45.0,12.2,,222.05,126605.33,,,,,11.2,,38.3,,39.8,,,,,,,,,
shui,2000-07-01,1155.86,194.89,15.55,4.5,0.5,,22.6,,24.0,12.8,,214.76,126323.92,,,,,11.4,,35.8,,40.1,,,,,,,,,
shui,2000-08-01,990.45,207.85,14.82,3.92,0.3,,21.9,,27.3,12.8,,233.25,127790.3,,,,,11.6,,34.6,,54.6,,,,,,,,,
shui,2000-09-01,1018.38,207.12,15.27,3.7,0.0,,20.8,,23.7,12.0,,229.8,130473.84,,,,,11.6,,33.1,,35.7,,,,,,,,,
shui,2000-10-01,1182.07,189.43,14.2,3.6,0.0,,18.2,,24.9,11.4,,227.7,129522.44,,,,,11.6,,32.2,,37.4,,,,,,,,,
shui,2000-11-01,1032.32,216.4,15.15,3.5,1.3,,17.1,,13.7,10.6,,221.46,130994.07,,,,,11.5,,30.1,,28.0,,,,,,,,,
shui,2000-12-01,1289.45,214.14,13.99,2.8,1.5,,16.0,,8.5,10.4,,219.86,134610.26,,,,,11.4,,27.8,,22.9,,,,,,,,,
shui,2001-03-01,1243.04,207.47,14.83,0.2,0.8,,17.4,,14.3,12.1,1045.0,230.12,138744.46,,,,,11.2,,14.7,,16.5,,,,,,,,,
shui,2001-04-01,1478.78,218.67,13.94,-0.1,1.6,,15.0,,11.1,11.5,1021.0,227.87,139949.85,,,,,11.3,,13.2,,19.1,,,,,,,,,
shui,2001-05-01,1157.54,188.1,14.48,-0.2,1.7,,14.9,,3.5,10.2,1223.0,208.08,139015.84,,,,,11.1,,11.0,,10.9,,,,,,,,,
shui,2001-06-01,1303.59,212.78,14.3,-0.6,1.4,,14.9,,-0.6,10.1,1839.0,220.76,147809.67,,,,,11.0,,8.8,,4.8,,,,,,,,,
shui,2001-07-01,1371.39,209.52,13.5,-1.3,1.5,,11.9,,6.2,8.1,541.0,228.11,149228.73,,,,,10.7,,8.4,,7.5,,,,,,,,,
shui,2001-08-01,1163.74,221.75,13.6,-2.0,1.0,,14.2,,0.9,8.1,519.0,235.36,149941.76,,,,,10.4,,7.3,,6.7,,,,,,,,,
shui,2001-09-01,1203.75,218.45,13.6,-2.9,-0.1,,12.3,,4.4,9.5,1359.0,239.87,151642.64,,,,,10.3,,6.9,,5.5,,,,,,,,,
shui,2001-10-01,1422.53,189.01,12.9,-3.1,0.2,,12.3,,0.1,8.8,16.0,227.9,151497.25,,,,,10.2,,6.1,,-0.2,,,,,,,,,
shui,2001-11-01,1218.89,208.45,13.2,-3.7,-0.3,,11.4,,8.4,7.9,1101.0,240.0,154088.33,,,,,10.0,,6.3,,-3.7,,,,,,,,,
shui,2001-12-01,1556.8,223.9,14.4,-4.0,-0.3,,12.7,,11.5,8.7,2312.0,245.03,158301.92,,,,,9.9,,6.8,,4.6,,,,,,,,,
shui,2002-03-01,1246.2,225.07,14.4,-4.0,-0.8,,10.1,3136.0,3.4,10.9,2555.0,238.18,164064.57,,,2554.0,,10.9,,9.9,,8.5,,0.0,,,-3.0,,315.0,-0.7,
shui,2002-04-01,1676.1,257.5,14.1,-3.06,-1.3,,11.5,1151.0,17.2,12.1,936.0,267.3,164570.56,,,937.0,,11.2,,11.9,,17.8,,10.0,,,119.0,,51.0,0.5,
shui,2002-05-01,1366.86,224.35,14.0,-2.63,-1.1,,14.6,1774.0,18.4,12.9,1110.0,246.44,166023.0,,,1110.0,,11.6,,13.2,,19.3,,10.0,,,74.0,,426.0,1.4,
shui,2002-06-01,1416.58,231.0,14.7,-2.5,-0.8,,12.8,2621.0,17.8,12.4,2930.0,260.2,169601.24,,,2929.0,,11.7,,14.1,,8.6,,78.0,,,18.0,,-589.0,0.4,
shui,2002-07-01,1618.11,269.9,14.4,-2.3,-0.9,,17.0,813.0,28.1,12.8,620.0,292.1,170851.14,,,620.0,,11.8,,16.2,,28.9,,10.0,,,45.0,,36.0,0.1,
shui,2002-08-01,1253.84,272.0,15.5,-1.7,-0.7,,14.6,1585.0,25.0,12.7,1736.0,294.0,173250.92,,,1736.0,,12.0,,17.5,,23.0,,23.0,,,-14.0,,-233.0,0.2,
shui,2002-09-01,1396.48,297.94,16.5,-1.4,-0.7,,15.9,3507.0,33.1,13.8,2878.0,319.11,176985.21,,,2885.0,,12.2,,19.4,,36.4,,58.0,,,-23.0,,296.0,0.1,
shui,2002-10-01,1728.57,252.0,17.0,-1.0,-0.8,,17.9,795.0,31.5,14.2,722.0,299.46,177294.15,,,722.0,,12.3,,20.6,,33.4,,87.0,,,-27.0,,-61.0,0.5,
shui,2002-11-01,1386.19,287.39,16.6,-0.4,-0.7,,18.5,1805.0,30.0,14.5,1539.0,312.05,179736.26,,,1539.0,,12.4,,21.6,,37.9,,60.0,,,-16.0,,107.0,0.1,
shui,2002-12-01,2170.82,287.33,16.78,0.4,-0.4,,16.82,3109.0,30.2,14.9,2206.0,318.91,185006.97,,,2673.0,,12.6,,22.3,,28.4,,30.0,,,0.0,,113.0,-0.5,
shui,2003-03-01,1587.8,325.49,18.54,4.6,0.9,,20.12,4041.0,34.7,16.9,3565.0,320.91,194487.3,,,3725.0,,17.2,,33.5,,45.1,,0.0,,,23.0,,-41.0,-0.1,
shui,2003-04-01,1946.93,346.03,19.2,3.6,1.0,,18.0,2622.0,33.3,14.9,1945.0,356.17,196130.13,,,1945.0,,16.4,,33.5,,34.4,,12.0,,,68.0,,280.0,-0.4,
shui,2003-05-01,1592.41,316.1,20.2,2.0,0.7,,18.8,2971.0,37.3,13.7,2534.0,338.4,199505.19,,,2534.0,,15.9,,34.3,,40.9,,5.0,,,2.0,,121.0,-0.5,
