unique_id,ds,y,exogenous1,exogenous2,exogenous3,exogenous4,exogenous5,exogenous6,exogenous7,exogenous8,exogenous9,exogenous10,exogenous11,exogenous12,exogenous13,exogenous14,exogenous15,exogenous16,exogenous17,exogenous18,exogenous19,exogenous20,exogenous21,exogenous22,exogenous23,exogenous24,exogenous25,exogenous26,exogenous27,exogenous28,exogenous29,exogenous30
jinkou,2000-01-01,152.58,0.03,-0.2,47.6,8.9,167.81,-3.1,0.9,15.23,109.7,23851.2,341844.9,167.97,1.96,125272,50.7,-3.46,8.2791,320.38,3.4,252632.2,2.1,15.39,-1.8,-5.8,3.06,-3.9,0.0,-2.3,3.32,38.7
jinkou,2000-02-01,134.28,1.2,0.7,34.5,12.0,147.8,-1.4,1.9,13.52,110.0,24040.7,305521.9,315.73,3.06,113367,43.2,-2.65,8.2779,282.08,3.6,257944.9,3.61,28.85,-1.7,-5.8,4.57,-3.9,-0.2,-2.3,-40.52,33.6
jinkou,2000-03-01,178.05,1.87,-0.2,35.9,11.9,201.38,-3.3,-1.6,23.33,110.4,24605.0,398685.1,517.16,4.42,205295,30.0,-2.76,8.2785,379.41,4.1,347941.6,4.79,52.15,-1.5,-6.2,6.15,-4.1,-0.3,-2.3,424.27,32.8
jinkou,2000-04-01,183.54,2.59,-0.3,38.8,11.4,205.12,-3.9,-0.9,21.58,110.6,24936.27,416184.4,722.15,5.32,193399,35.9,-2.38,8.2793,388.65,5.0,364719.3,5.3,73.55,-1.2,-6.3,7.2,-3.7,-0.3,-2.2,125.03,30.5
jinkou,2000-05-01,169.65,0.67,0.1,29.6,11.5,201.12,-3.1,-1.0,31.47,111.1,25093.43,430085.7,922.84,0.9,183333,27.1,0.25,8.2775,370.77,5.9,315387.9,5.5,104.58,-1.1,-6.2,2.09,-3.3,-0.2,-2.4,68.74,29.3
jinkou,2000-06-01,203.0,2.95,0.5,45.0,12.2,222.05,-2.4,-1.5,19.05,111.2,25302.95,472878.5,1144.76,5.47,171152,42.5,-1.59,8.2772,425.06,5.9,340114.1,7.1,123.49,-0.9,-6.4,10.1,-3.3,-0.1,-2.3,140.23,30.4
jinkou,2000-07-01,194.89,4.5,0.5,24.0,12.8,214.76,-2.4,-0.8,19.87,111.4,25509.84,462779.4,1359.52,7.15,153431,31.2,-0.27,8.2794,409.67,5.4,327483.3,8.6,143.39,-0.7,-6.3,11.54,-3.2,0.0,-2.1,-41.58,29.0
jinkou,2000-08-01,207.85,3.92,0.3,27.3,12.8,233.25,-2.6,1.0,25.4,111.8,25806.66,519340.7,1593.43,6.3,173799,38.9,-2.05,8.2795,441.08,4.4,379450.8,4.6,169.49,-0.9,-6.3,10.6,-3.6,0.5,-2.0,-47.9,29.0
jinkou,2000-09-01,207.12,3.7,0.0,23.7,12.0,229.8,-3.7,1.6,22.68,112.4,26323.62,501372.2,1823.07,6.36,193029,29.1,-2.75,8.2785,436.89,4.6,387420.1,5.1,192.02,-0.5,-6.3,11.08,-0.5,1.1,-2.0,-31.42,28.0
jinkou,2000-10-01,189.43,3.6,0.0,24.9,11.4,227.7,-3.7,-0.1,38.27,112.5,26679.51,491706.4,2051.14,6.12,171034,30.3,-2.46,8.2783,417.13,5.0,395628.9,5.2,230.95,-0.3,-6.4,10.17,-0.4,1.3,-2.2,-13.77,27.2
jinkou,2000-11-01,216.4,3.5,1.3,13.7,10.6,221.46,-1.0,0.7,5.06,112.7,27180.85,455085.3,2272.39,5.8,187497,20.4,-2.1,8.2774,437.85,5.5,396013.0,5.0,235.55,-0.1,-6.2,9.6,-0.6,1.1,-2.6,-80.3,26.0
jinkou,2000-12-01,214.14,2.8,1.5,8.5,10.4,219.86,-0.1,0.1,5.72,112.9,27931.19,418715.7,2492.12,4.6,215608,15.2,-1.6,8.2771,433.99,5.2,396368.5,4.7,241.15,-0.2,-6.2,8.0,-0.4,0.7,-2.5,-79.69,24.2
jinkou,2001-01-01,155.48,1.43,1.2,0.1,2.3,167.92,-0.4,0.9,12.44,113.2,33166.28,351660.4,169.26,2.71,121103,0.9,-1.64,8.2769,323.4,2.5,260784.6,3.6,13.81,-1.3,-0.5,5.99,8.8,0.5,-1.9,-18.32,3.3
jinkou,2001-02-01,182.33,0.9,0.0,28.4,19.0,189.71,-3.3,0.1,7.38,112.9,33630.89,365842.8,361.39,1.8,184596,31.9,-1.4,8.2779,372.05,2.4,359993.4,2.7,23.67,-2.1,-1.7,4.5,9.3,0.4,-2.1,-45.41,11.3
