unique_id,ds,y,exogenous1,exogenous2,exogenous3,exogenous4,exogenous5,exogenous6,exogenous7,exogenous8,exogenous9,exogenous10
GDP,1990/1/1,163266,2.4,39885,37447,13973,7.85,11.01,10447,-4.04,7.09,3874
GDP,1990/4/1,167237,2.98,39688,37767,14059,11.38,7.3,10285,2.69,10.29,3909
GDP,1990/7/1,170304,-2.08,38655,37504,14363,4.93,-2.35,10231,3.06,5.97,4727
GDP,1990/10/1,170632,-2.82,37788,37723,14392,7.31,-2.55,10284,5.3,2.31,6133
GDP,1991/1/1,173714,-7.68,36822,36863,13511,-1.89,-10.22,9827,-3.31,-1.56,5676
GDP,1991/4/1,175672,-8.05,36495,38164,14252,4.57,-9.98,10569,1.37,1.05,7310
GDP,1991/7/1,177295,-4.27,37006,38657,13923,4.96,-1.08,10903,-3.06,3.07,7899
GDP,1991/10/1,179984,-0.78,37493,38381,14204,3.99,-0.14,11148,-1.31,1.74,6999
GDP,1992/1/1,181716,2.86,37874,38277,14811,14.53,3.05,11691,9.62,3.84,6753
GDP,1992/4/1,182114,8.43,39571,39050,15518,9.46,6.55,11650,8.88,2.32,5810
GDP,1992/7/1,182539,7.36,39729,38678,14563,6.45,2.63,10576,4.6,0.05,5176
GDP,1992/10/1,185424,7.72,40389,39833,14489,9.24,11.35,12417,2.01,3.78,6962
GDP,1993/1/1,190158,8.34,41032,40320,14315,10.12,17.34,13248,-3.35,5.34,7189
GDP,1993/4/1,190463,1.21,40051,40039,15046,12.28,10.64,12739,-3.04,2.53,6778
GDP,1993/7/1,193925,2.83,40854,40375,15464,18.2,12.99,13462,6.19,4.39,6671
GDP,1993/10/1,196325,3.03,41611,41196,15365,13.69,7.16,14245,6.05,3.42,7683
GDP,1994/1/1,199596,2.84,42196,43171,16284,14.85,3.83,14872,13.75,7.07,8681
GDP,1994/4/1,201178,6.04,42471,43790,16529,11.41,8.32,13967,9.86,9.37,8389
GDP,1994/7/1,203490,3.04,42097,44604,16673,10.86,8.64,14976,7.82,10.47,10660
GDP,1994/10/1,207652,5.81,44028,46461,17077,12.1,11.54,15693,11.14,12.78,10068
GDP,1995/1/1,208843,3.15,43524,47930,16583,4.12,10.62,17065,1.84,11.02,14093
GDP,1995/4/1,211269,5.94,44993,47666,17303,7.82,13.8,15940,4.68,8.85,10964
GDP,1995/7/1,215245,9.52,46106,49654,17507,8.43,16.31,16014,5.0,11.32,12071
GDP,1995/10/1,217720,6.14,46730,50412,17348,5.21,12.1,17077,1.59,8.5,12593
GDP,1996/1/1,221486,11.86,48684,51291,17887,14.61,15.34,17282,7.86,7.01,11688
GDP,1996/4/1,225839,9.07,49074,52124,18354,9.14,11.21,18202,6.07,9.35,12131
GDP,1996/7/1,230096,8.81,50169,53203,18508,7.8,6.11,18097,5.72,7.15,11814
GDP,1996/10/1,233837,8.28,50597,54023,19804,13.17,4.94,19148,14.16,7.16,12345
GDP,1997/1/1,233241,7.27,52224,57943,20272,1.65,0.88,18505,13.33,12.97,15089
GDP,1997/4/1,235845,12.13,55029,58762,20781,1.14,3.49,18671,13.22,12.74,12950
GDP,1997/7/1,242858,6.64,53500,57749,22307,5.16,-0.01,19728,20.53,8.54,12702
GDP,1997/10/1,242008,10.48,55900,59717,21678,-0.06,3.17,19440,9.46,10.54,13638
GDP,1998/1/1,245778,10.21,57555,59626,22451,8.15,3.73,19433,10.75,2.9,11625
GDP,1998/4/1,248133,7.65,59237,59037,22999,7.93,1.23,19747,10.67,0.47,9461
GDP,1998/7/1,251225,11.99,59917,58134,23331,5.08,3.87,20276,4.59,0.67,8187
GDP,1998/10/1,254190,7.71,60211,58203,23168,8.83,0.58,20918,6.87,-2.54,7646
GDP,1999/1/1,256399,6.7,61414,57639,24712,11.44,1.65,20863,10.07,-3.33,5055
GDP,1999/4/1,258184,4.43,61864,58608,25338,10.83,1.26,21245,10.17,-0.73,5165
GDP,1999/7/1,261803,8.55,65037,62009,24981,6.83,8.32,21876,7.07,6.67,6531
