unique_id,ds,y,exogenous1,exogenous2,exogenous3,exogenous4,exogenous5,exogenous6,exogenous7,exogenous8,exogenous9,exogenous10,exogenous11,exogenous12,exogenous13,exogenous14,exogenous15
GDP,1990/1/1,317117,2.4,39885.0,37447.0,13973,7.85,11.01,10447.0,-4.04,7.09,3874.0,15.49,25289.0,3.7,31468,20526.0
GDP,1990/4/1,319239,2.98,39688.0,37767.0,14059,11.38,7.3,10285.0,2.69,10.29,3909.0,9.87,25888.0,0.87,31396,19936.0
GDP,1990/7/1,315744,-2.08,38655.0,37504.0,14363,4.93,-2.35,10231.0,3.06,5.97,4727.0,6.87,25496.0,1.65,29628,20202.0
GDP,1990/10/1,314148,-2.82,37788.0,37723.0,14392,7.31,-2.55,10284.0,5.3,2.31,6133.0,6.9,25851.0,4.12,29184,20501.0
GDP,1991/1/1,312596,-7.68,36822.0,36863.0,13511,-1.89,-10.22,9827.0,-3.31,-1.56,5676.0,-5.93,25107.0,-7.48,28252,18991.0
GDP,1991/4/1,312235,-8.05,36495.0,38164.0,14252,4.57,-9.98,10569.0,1.37,1.05,7310.0,2.76,26093.0,-2.14,28263,19509.0
GDP,1991/7/1,311624,-4.27,37006.0,38657.0,13923,4.96,-1.08,10903.0,-3.06,3.07,7899.0,6.57,26686.0,-1.3,29307,19940.0
GDP,1991/10/1,312006,-0.78,37493.0,38381.0,14204,3.99,-0.14,11148.0,-1.31,1.74,6999.0,8.4,26267.0,-1.87,29143,20118.0
GDP,1992/1/1,311904,2.86,37874.0,38277.0,14811,14.53,3.05,11691.0,9.62,3.84,6753.0,18.97,26292.0,10.6,29115,21004.0
GDP,1992/4/1,311418,8.43,39571.0,39050.0,15518,9.46,6.55,11650.0,8.88,2.32,5810.0,10.23,27008.0,11.31,30114,21715.0
GDP,1992/7/1,312896,7.36,39729.0,38678.0,14563,6.45,2.63,10576.0,4.6,0.05,5176.0,-3.0,26605.0,4.04,30078,20745.0
GDP,1992/10/1,315307,7.72,40389.0,39833.0,14489,9.24,11.35,12417.0,2.01,3.78,6962.0,11.38,28180.0,10.01,32452,22131.0
GDP,1993/1/1,316882,8.34,41032.0,40320.0,14315,10.12,17.34,13248.0,-3.35,5.34,7189.0,13.32,30358.0,6.7,34163,22411.0
GDP,1993/4/1,318302,1.21,40051.0,40039.0,15046,12.28,10.64,12739.0,-3.04,2.53,6778.0,9.35,29984.0,0.18,33318,21754.0
GDP,1993/7/1,321218,2.83,40854.0,40375.0,15464,18.2,12.99,13462.0,6.19,4.39,6671.0,27.29,30728.0,9.0,33984,22612.0
GDP,1993/10/1,323400,3.03,41611.0,41196.0,15365,13.69,7.16,14245.0,6.05,3.42,7683.0,14.72,31410.0,6.69,34774,23611.0
GDP,1994/1/1,326585,2.84,42196.0,43171.0,16284,14.85,3.83,14872.0,13.75,7.07,8681.0,12.26,32134.0,6.7,35473,23913.0
GDP,1994/4/1,329584,6.04,42471.0,43790.0,16529,11.41,8.32,13967.0,9.86,9.37,8389.0,9.64,33369.0,7.41,36091,23367.0
GDP,1994/7/1,332911,3.04,42097.0,44604.0,16673,10.86,8.64,14976.0,7.82,10.47,10660.0,11.25,34270.0,9.18,36919,24687.0
GDP,1994/10/1,334363,5.81,44028.0,46461.0,17077,12.1,11.54,15693.0,11.14,12.78,10068.0,10.16,35648.0,3.48,38788,24433.0
